cell_name	gene_name	tissue_type	gene_id
Schwalie et al.Nature.P2	Heph	Adipose tissue	ENSMUSG00000031209
Schwalie et al.Nature.P2	Adamts12	Adipose tissue	ENSMUSG00000047497
Schwalie et al.Nature.P3	Adamtsl5	Adipose tissue	ENSMUSG00000043822
Schwalie et al.Nature.G2	Tcf12	Adipose tissue	ENSMUSG00000032228
Schwalie et al.Nature.G4	Stat1	Adipose tissue	ENSMUSG00000026104
Schwalie et al.Nature.P2	Gnl3	Adipose tissue	ENSMUSG00000042354
Schwalie et al.Nature.P2		Adipose tissue	
Schwalie et al.Nature.P1	Osr2	Adipose tissue	ENSMUSG00000022330
Schwalie et al.Nature.P3	Bace2	Adipose tissue	ENSMUSG00000040605
Schwalie et al.Nature.P3	Ccbe1	Adipose tissue	ENSMUSG00000046318
Schwalie et al.Nature.G3	Lrp6	Adipose tissue	ENSMUSG00000030201
Schwalie et al.Nature.P2	Pi4k2a	Adipose tissue	ENSMUSG00000025178
Schwalie et al.Nature.G1	Ddah2	Adipose tissue	ENSMUSG00000007039
Schwalie et al.Nature.G4	Rnase10	Adipose tissue	ENSMUSG00000021872
Schwalie et al.Nature.P1	Rps20	Adipose tissue	ENSMUSG00000028234
Schwalie et al.Nature.G4	Tmem158	Adipose tissue	ENSMUSG00000054871
Schwalie et al.Nature.G4	Akr1c18	Adipose tissue	ENSMUSG00000021214
Schwalie et al.Nature.P2	Sde2	Adipose tissue	ENSMUSG00000038806
Schwalie et al.Nature.G3	Lmo1	Adipose tissue	ENSMUSG00000036111
Schwalie et al.Nature.G1	Rcan2	Adipose tissue	ENSMUSG00000039601
Schwalie et al.Nature.P2	Col5a2	Adipose tissue	ENSMUSG00000026042
Schwalie et al.Nature.G3	Tnfsf13b	Adipose tissue	ENSMUSG00000031497
Schwalie et al.Nature.P2	Mdk	Adipose tissue	ENSMUSG00000027239
Schwalie et al.Nature.G3	Ntf3	Adipose tissue	ENSMUSG00000049107
Schwalie et al.Nature.P2	Trib1	Adipose tissue	ENSMUSG00000032501
Schwalie et al.Nature.G2	Lpl	Adipose tissue	ENSMUSG00000015568
Schwalie et al.Nature.G3	Tmeff2	Adipose tissue	ENSMUSG00000026109
Schwalie et al.Nature.G1	Rap1b	Adipose tissue	ENSMUSG00000052681
Schwalie et al.Nature.G3	Tmem106a	Adipose tissue	ENSMUSG00000034947
Schwalie et al.Nature.G4	Jak1	Adipose tissue	ENSMUSG00000028530
Chondrogenic cell	Sox6	Adipose tissue	ENSMUSG00000051910
Schwalie et al.Nature.G1	Nptn	Adipose tissue	ENSMUSG00000032336
Schwalie et al.Nature.G4	Gng12	Adipose tissue	ENSMUSG00000036402
Schwalie et al.Nature.G4	Gpx3	Adipose tissue	ENSMUSG00000018339
Schwalie et al.Nature.P3	Tnfsf13b	Adipose tissue	ENSMUSG00000031497
Schwalie et al.Nature.P3	Rce1	Adipose tissue	ENSMUSG00000024889
Schwalie et al.Nature.G2	Rassf2	Adipose tissue	ENSMUSG00000027339
Schwalie et al.Nature.G2	Penk	Adipose tissue	ENSMUSG00000045573
Schwalie et al.Nature.G2	Tcf4	Adipose tissue	ENSMUSG00000053477
Schwalie et al.Nature.G2	Cd36	Adipose tissue	ENSMUSG00000002944
Schwalie et al.Nature.P1	Fndc1	Adipose tissue	ENSMUSG00000071984
Schwalie et al.Nature.G2	Plin2	Adipose tissue	ENSMUSG00000028494
Schwalie et al.Nature.G4	Rps12-ps3	Adipose tissue	ENSMUSG00000067038
Schwalie et al.Nature.G1	Itga11	Adipose tissue	ENSMUSG00000032243
Schwalie et al.Nature.P3	Egflam	Adipose tissue	ENSMUSG00000042961
Schwalie et al.Nature.G1	Cyb5a	Adipose tissue	ENSMUSG00000024646
Schwalie et al.Nature.P1	Islr2	Adipose tissue	ENSMUSG00000051243
Schwalie et al.Nature.G3	Acvr2a	Adipose tissue	ENSMUSG00000052155
Schwalie et al.Nature.G3	Gstm2	Adipose tissue	ENSMUSG00000040562
Schwalie et al.Nature.G4	Psmb10	Adipose tissue	ENSMUSG00000031897
Schwalie et al.Nature.G1	Nfix	Adipose tissue	ENSMUSG00000001911
Schwalie et al.Nature.P2	Noct	Adipose tissue	ENSMUSG00000023087
Schwalie et al.Nature.G4	Gapdh	Adipose tissue	ENSMUSG00000057666
Schwalie et al.Nature.G1	Fndc1	Adipose tissue	ENSMUSG00000071984
Schwalie et al.Nature.P3	Pltp	Adipose tissue	ENSMUSG00000017754
Schwalie et al.Nature.G4	Rps20	Adipose tissue	ENSMUSG00000028234
Schwalie et al.Nature.G2	Tpbg	Adipose tissue	ENSMUSG00000035274
Schwalie et al.Nature.P3	Arl8b	Adipose tissue	ENSMUSG00000030105
Schwalie et al.Nature.G3	Klf5	Adipose tissue	ENSMUSG00000005148
Schwalie et al.Nature.G2	Gpr153	Adipose tissue	ENSMUSG00000042804
Schwalie et al.Nature.G3	Syne1	Adipose tissue	ENSMUSG00000096054
Schwalie et al.Nature.G4	Ntrk2	Adipose tissue	ENSMUSG00000055254
Schwalie et al.Nature.P1	Cadm3	Adipose tissue	ENSMUSG00000005338
Schwalie et al.Nature.G2	Fscn1	Adipose tissue	ENSMUSG00000029581
Schwalie et al.Nature.P3	Igsf3	Adipose tissue	ENSMUSG00000042035
Schwalie et al.Nature.G4	Isg15	Adipose tissue	ENSMUSG00000035692
Schwalie et al.Nature.P2	Anxa5	Adipose tissue	ENSMUSG00000027712
Schwalie et al.Nature.G1	Ar	Adipose tissue	ENSMUSG00000046532
Schwalie et al.Nature.G4	Ly6c1	Adipose tissue	ENSMUSG00000079018
Schwalie et al.Nature.G3	Rpl3	Adipose tissue	ENSMUSG00000060036
Schwalie et al.Nature.G4	Slirp	Adipose tissue	ENSMUSG00000021040
Schwalie et al.Nature.P2	Col6a3	Adipose tissue	ENSMUSG00000048126
Schwalie et al.Nature.P1	Akr1c18	Adipose tissue	ENSMUSG00000021214
Schwalie et al.Nature.G4	Oas1a	Adipose tissue	ENSMUSG00000052776
Schwalie et al.Nature.P3	Tmem204	Adipose tissue	ENSMUSG00000024168
Schwalie et al.Nature.P2	Ubb	Adipose tissue	ENSMUSG00000019505
Schwalie et al.Nature.P1	Tmem158	Adipose tissue	ENSMUSG00000054871
Schwalie et al.Nature.P1	Nin	Adipose tissue	ENSMUSG00000021068
Schwalie et al.Nature.G4	Ptpn5	Adipose tissue	ENSMUSG00000030854
Schwalie et al.Nature.G1	Mustn1	Adipose tissue	ENSMUSG00000042485
Schwalie et al.Nature.P2	Btg2	Adipose tissue	ENSMUSG00000020423
Schwalie et al.Nature.P2	Cfap20	Adipose tissue	ENSMUSG00000031796
Schwalie et al.Nature.G3	Adh1	Adipose tissue	ENSMUSG00000074207
Schwalie et al.Nature.G2	Fhl2	Adipose tissue	ENSMUSG00000008136
Schwalie et al.Nature.G2	Tpm2	Adipose tissue	ENSMUSG00000028464
Schwalie et al.Nature.G2	Spop	Adipose tissue	ENSMUSG00000057522
Schwalie et al.Nature.G2	Snhg18	Adipose tissue	ENSMUSG00000096956
Schwalie et al.Nature.G2	Btg1	Adipose tissue	ENSMUSG00000036478
Schwalie et al.Nature.P3	Zmpste24	Adipose tissue	ENSMUSG00000043207
Schwalie et al.Nature.P1	Itga11	Adipose tissue	ENSMUSG00000032243
Stem cell	Ly6a	Adipose tissue	ENSMUSG00000075602
Schwalie et al.Nature.P3	Prickle1	Adipose tissue	ENSMUSG00000036158
Schwalie et al.Nature.G4	Rps12	Adipose tissue	ENSMUSG00000061983
Schwalie et al.Nature.G4	Lbp	Adipose tissue	ENSMUSG00000016024
Schwalie et al.Nature.P3	Ubl3	Adipose tissue	ENSMUSG00000001687
Schwalie et al.Nature.G4	Ifi211	Adipose tissue	ENSMUSG00000026536
Schwalie et al.Nature.P3	Pdgfrl	Adipose tissue	ENSMUSG00000031595
Schwalie et al.Nature.G1	Fhl1	Adipose tissue	ENSMUSG00000023092
Schwalie et al.Nature.P3	Arhgap44	Adipose tissue	ENSMUSG00000033389
Schwalie et al.Nature.G3	Mycbp2	Adipose tissue	ENSMUSG00000033004
Schwalie et al.Nature.G4	Thbd	Adipose tissue	ENSMUSG00000074743
Schwalie et al.Nature.P3	Lgals8	Adipose tissue	ENSMUSG00000057554
Schwalie et al.Nature.P2		Adipose tissue	
Schwalie et al.Nature.P3	Nr1d1	Adipose tissue	ENSMUSG00000020889
Schwalie et al.Nature.G1	Ackr2	Adipose tissue	ENSMUSG00000044534
Schwalie et al.Nature.P1	Akr1c14	Adipose tissue	ENSMUSG00000033715
Schwalie et al.Nature.G4	Aldh1a1	Adipose tissue	ENSMUSG00000053279
Schwalie et al.Nature.P2	Gpm6b	Adipose tissue	ENSMUSG00000031342
Schwalie et al.Nature.G2	Alx4	Adipose tissue	ENSMUSG00000040310
Schwalie et al.Nature.G2	Enpep	Adipose tissue	ENSMUSG00000028024
Schwalie et al.Nature.G3	Fxyd6	Adipose tissue	ENSMUSG00000066705
Schwalie et al.Nature.G3	Map1lc3a	Adipose tissue	ENSMUSG00000027602
Schwalie et al.Nature.P1	Clip1	Adipose tissue	ENSMUSG00000049550
