cell_name	gene_name	tissue_type	gene_id
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell	ITGB1	Adipose tissue	ENSG00000150093
Mesenchymal stem cell	THY1	Adipose tissue	ENSG00000154096
Macrophage	CD68	Visceral adipose tissue	ENSG00000129226
Adipose-derived stem cell	ITGA1	Adipose tissue	ENSG00000213949
Adipose-derived stem cell	THY1	Adipose tissue	ENSG00000154096
Adipose-derived stem cell	NGFR	Adipose tissue	ENSG00000064300
Adipose-derived stem cell		Adipose tissue	
Macrophage	PTPRC	Adipose tissue	ENSG00000262418
Macrophage	PTPRC	Adipose tissue	ENSG00000081237
Monocyte	PTPRC	Subcutaneous adipose tissue	ENSG00000262418
Monocyte	PTPRC	Subcutaneous adipose tissue	ENSG00000081237
Macrophage	CD14	Adipose tissue	ENSG00000170458
Monocyte	CD14	Subcutaneous adipose tissue	ENSG00000170458
Macrophage	MRC1	Adipose tissue	ENSG00000260314
Macrophage	CD14	Subcutaneous adipose tissue	ENSG00000170458
Macrophage	PTPRC	Subcutaneous adipose tissue	ENSG00000262418
Macrophage	PTPRC	Subcutaneous adipose tissue	ENSG00000081237
Adipose-derived stem cell	ANPEP	Subcutaneous adipose tissue	ENSG00000166825
Adipose-derived stem cell	ITGB1	Subcutaneous adipose tissue	ENSG00000150093
Adipose-derived stem cell	CD44	Subcutaneous adipose tissue	ENSG00000026508
Adipose-derived stem cell	CD34	Subcutaneous adipose tissue	ENSG00000174059
Adipose-derived stem cell	PECAM1	Subcutaneous adipose tissue	ENSG00000261371
Mesenchymal stem cell		Adipose tissue	
Dedifferentiation adipocyte	VCAM1	Adipose tissue	ENSG00000162692
Dedifferentiation adipocyte	ITGB1	Adipose tissue	ENSG00000150093
Dedifferentiation adipocyte		Adipose tissue	
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell	VCAM1	Adipose tissue	ENSG00000162692
Adipose-derived stem cell	PTPRC	Adipose tissue	ENSG00000262418
Adipose-derived stem cell	PTPRC	Adipose tissue	ENSG00000081237
Adipose-derived stem cell	ITGB1	Adipose tissue	ENSG00000150093
Adipose-derived stem cell	CD44	Adipose tissue	ENSG00000026508
Dedifferentiation adipocyte	PTPRC	Adipose tissue	ENSG00000262418
Dedifferentiation adipocyte	PTPRC	Adipose tissue	ENSG00000081237
Adipose-derived stem cell	CD34	Adipose tissue	ENSG00000174059
Dedifferentiation adipocyte	CD34	Adipose tissue	ENSG00000174059
Dedifferentiation adipocyte	CD44	Adipose tissue	ENSG00000026508
Mature endothelial cell	PECAM1	Subcutaneous adipose tissue	ENSG00000261371
Immature endothelial cell	PECAM1	Subcutaneous adipose tissue	ENSG00000261371
Pericyte	PECAM1	Subcutaneous adipose tissue	ENSG00000261371
Immature endothelial cell	CD34	Subcutaneous adipose tissue	ENSG00000174059
Mature endothelial cell	CD34	Subcutaneous adipose tissue	ENSG00000174059
Pericyte	MCAM	Subcutaneous adipose tissue	ENSG00000076706
Pericyte	CD34	Subcutaneous adipose tissue	ENSG00000174059
Endothelial cell		Adipose tissue	
Endothelial cell	VWF	Adipose tissue	ENSG00000110799
Endothelial cell	PECAM1	Adipose tissue	ENSG00000261371
Stem cell	THY1	Adipose tissue	ENSG00000154096
Stem cell	CD34	Adipose tissue	ENSG00000174059
Stem cell		Adipose tissue	
Stem cell	ABCG2	Adipose tissue	ENSG00000118777
Adipose-derived stem cell	NT5E	Adipose tissue	ENSG00000135318
Adipose-derived stem cell	CD9	Adipose tissue	ENSG00000010278
Adipose-derived stem cell	CD44	Adipose tissue	ENSG00000026508
Adipose-derived stem cell	THY1	Adipose tissue	ENSG00000154096
Endothelial progenitor cell	CD34	Adipose tissue	ENSG00000174059
Adipose-derived stromal cell	DLK1	Abdominal adipose tissue	ENSG00000185559
Adipose progenitor cell	DLK1	Abdominal adipose tissue	ENSG00000185559
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell	NT5E	Adipose tissue	ENSG00000135318
Adipose-derived stem cell	THY1	Adipose tissue	ENSG00000154096
Stem cell	NT5E	Adipose tissue	ENSG00000135318
Stem cell	CD44	Adipose tissue	ENSG00000026508
Stem cell	THY1	Adipose tissue	ENSG00000154096
Mesenchymal stem cell	THY1	Adipose tissue	ENSG00000154096
Mesenchymal stem cell	CD44	Adipose tissue	ENSG00000026508
Mesenchymal stem cell	PTPRC	Adipose tissue	ENSG00000262418
Mesenchymal stem cell	PTPRC	Adipose tissue	ENSG00000081237
Mesenchymal stem cell	ITGB1	Adipose tissue	ENSG00000150093
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell	NT5E	Adipose tissue	ENSG00000135318
Mesenchymal stem cell	PECAM1	Adipose tissue	ENSG00000261371
Adipose-derived stem cell		Abdominal adipose tissue	
Adipose-derived stem cell	CD14	Abdominal adipose tissue	ENSG00000170458
Adipose-derived stem cell	CD44	Abdominal adipose tissue	ENSG00000026508
Adipose-derived stem cell	THY1	Abdominal adipose tissue	ENSG00000154096
Adipose-derived stem cell	PTPRC	Abdominal adipose tissue	ENSG00000262418
Adipose-derived stem cell	PTPRC	Abdominal adipose tissue	ENSG00000081237
Adipose-derived stem cell	THY1	Adipose tissue	ENSG00000154096
Adipose-derived stem cell	CD34	Adipose tissue	ENSG00000174059
Adipose-derived stem cell	PECAM1	Adipose tissue	ENSG00000261371
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell	PTPRC	Adipose tissue	ENSG00000262418
