cell_name	gene_name	tissue_type	gene_id
Astrocyte	SOX8	Embryonic prefrontal cortex	ENSG00000005513
Astrocyte	SLC38A3	Embryonic prefrontal cortex	ENSG00000188338
Microglial cell	DHRS3	Embryonic prefrontal cortex	ENSG00000162496
Microglial cell	CTSD	Embryonic prefrontal cortex	ENSG00000117984
Microglial cell	P2RX4	Embryonic prefrontal cortex	ENSG00000135124
Neural progenitor cell	CKAP2	Embryonic prefrontal cortex	ENSG00000136108
Microglial cell	ACTR2	Embryonic prefrontal cortex	ENSG00000138071
Microglial cell	MANBA	Embryonic prefrontal cortex	ENSG00000109323
Neural progenitor cell	KIF2C	Embryonic prefrontal cortex	ENSG00000142945
Microglial cell	NAGA	Embryonic prefrontal cortex	ENSG00000198951
Neural progenitor cell	HES1	Embryonic prefrontal cortex	ENSG00000114315
Neural progenitor cell	RPA3	Embryonic prefrontal cortex	ENSG00000106399
Astrocyte	GNG11	Embryonic prefrontal cortex	ENSG00000127920
Microglial cell	ADRB2	Embryonic prefrontal cortex	ENSG00000169252
Interneuron	SOX2-OT	Embryonic prefrontal cortex	ENSG00000242808
Microglial cell	AOAH	Embryonic prefrontal cortex	ENSG00000136250
Microglial cell	GSTA4	Embryonic prefrontal cortex	ENSG00000170899
Neural progenitor cell	ZWINT	Embryonic prefrontal cortex	ENSG00000122952
Microglial cell	NAA20	Embryonic prefrontal cortex	ENSG00000173418
Microglial cell	IFITM2	Embryonic prefrontal cortex	ENSG00000185201
Microglial cell	IL6ST	Embryonic prefrontal cortex	ENSG00000134352
Microglial cell	C3	Embryonic prefrontal cortex	ENSG00000125730
Microglial cell	RGS1	Embryonic prefrontal cortex	ENSG00000090104
Astrocyte	HTRA1	Embryonic prefrontal cortex	ENSG00000166033
Microglial cell	SERPINA1	Embryonic prefrontal cortex	ENSG00000277377
Microglial cell	SERPINA1	Embryonic prefrontal cortex	ENSG00000197249
Microglial cell	CAPZB	Embryonic prefrontal cortex	ENSG00000077549
Microglial cell	CD74	Embryonic prefrontal cortex	ENSG00000019582
Neural progenitor cell	SPAG5	Embryonic prefrontal cortex	ENSG00000076382
Astrocyte	ALDOC	Embryonic prefrontal cortex	ENSG00000109107
Astrocyte	DOK5	Embryonic prefrontal cortex	ENSG00000101134
Astrocyte	PHGDH	Embryonic prefrontal cortex	ENSG00000092621
Astrocyte	RHOC	Embryonic prefrontal cortex	ENSG00000155366
Neural progenitor cell	DTYMK	Embryonic prefrontal cortex	ENSG00000168393
Microglial cell	ACY3	Embryonic prefrontal cortex	ENSG00000132744
Astrocyte	SLC1A4	Embryonic prefrontal cortex	ENSG00000115902
Astrocyte	HEY1	Embryonic prefrontal cortex	ENSG00000164683
Astrocyte	TRIM47	Embryonic prefrontal cortex	ENSG00000132481
Neural progenitor cell	SNAP25	Embryonic prefrontal cortex	ENSG00000132639
Astrocyte	ADGRG1	Embryonic prefrontal cortex	ENSG00000205336
Astrocyte	CSPG5	Embryonic prefrontal cortex	ENSG00000114646
Astrocyte	LIX1	Embryonic prefrontal cortex	ENSG00000145721
Astrocyte	IFITM3	Embryonic prefrontal cortex	ENSG00000142089
Astrocyte	MFGE8	Embryonic prefrontal cortex	ENSG00000140545
Astrocyte	C1orf122	Embryonic prefrontal cortex	ENSG00000197982
Microglial cell	ELAVL4	Embryonic prefrontal cortex	ENSG00000162374
Neural progenitor cell	SFRP1	Embryonic prefrontal cortex	ENSG00000104332
Microglial cell	PDGFB	Embryonic prefrontal cortex	ENSG00000100311
Microglial cell	PPT1	Embryonic prefrontal cortex	ENSG00000131238
Oligodendrocyte progenitor cell	SHTN1	Embryonic prefrontal cortex	ENSG00000187164
Astrocyte	NPNT	Embryonic prefrontal cortex	ENSG00000168743
Microglial cell	HCLS1	Embryonic prefrontal cortex	ENSG00000180353
Astrocyte	CCDC80	Embryonic prefrontal cortex	ENSG00000091986
Neural progenitor cell	GLI3	Embryonic prefrontal cortex	ENSG00000106571
Astrocyte	LIFR	Embryonic prefrontal cortex	ENSG00000113594
Astrocyte	PTMA	Embryonic prefrontal cortex	ENSG00000187514
Microglial cell	LINC00996	Embryonic prefrontal cortex	ENSG00000242258
Neural progenitor cell	ID4	Embryonic prefrontal cortex	ENSG00000172201
Oligodendrocyte progenitor cell	PTN	Embryonic prefrontal cortex	ENSG00000105894
Microglial cell	CD53	Embryonic prefrontal cortex	ENSG00000143119
Astrocyte	ETV5	Embryonic prefrontal cortex	ENSG00000244405
Microglial cell	MGST2	Embryonic prefrontal cortex	ENSG00000085871
Microglial cell	IFNGR1	Embryonic prefrontal cortex	ENSG00000027697
Astrocyte	TTYH1	Embryonic prefrontal cortex	ENSG00000276537
Astrocyte	TTYH1	Embryonic prefrontal cortex	ENSG00000276887
Astrocyte	TTYH1	Embryonic prefrontal cortex	ENSG00000275650
Astrocyte	TTYH1	Embryonic prefrontal cortex	ENSG00000167614
Oligodendrocyte progenitor cell	SCN1A	Embryonic prefrontal cortex	ENSG00000144285
Neural progenitor cell	PAICS	Embryonic prefrontal cortex	ENSG00000128050
Neural progenitor cell	CDK1	Embryonic prefrontal cortex	ENSG00000170312
Microglial cell	CYTH4	Embryonic prefrontal cortex	ENSG00000100055
Astrocyte	GDPD2	Embryonic prefrontal cortex	ENSG00000130055
Microglial cell	LIPA	Embryonic prefrontal cortex	ENSG00000107798
Astrocyte	LIPA	Embryonic prefrontal cortex	ENSG00000107798
Astrocyte	EEPD1	Embryonic prefrontal cortex	ENSG00000122547
Microglial cell	FCGR1A	Embryonic prefrontal cortex	ENSG00000150337
Neural progenitor cell	BUB1	Embryonic prefrontal cortex	ENSG00000169679
Astrocyte	TECPR2	Embryonic prefrontal cortex	ENSG00000196663
Neural progenitor cell	AURKB	Embryonic prefrontal cortex	ENSG00000178999
Oligodendrocyte progenitor cell	ARC	Embryonic prefrontal cortex	ENSG00000198576
Astrocyte	HLA-B	Embryonic prefrontal cortex	ENSG00000206450
Astrocyte	HLA-B	Embryonic prefrontal cortex	ENSG00000228964
Astrocyte	HLA-B	Embryonic prefrontal cortex	ENSG00000224608
Astrocyte	HLA-B	Embryonic prefrontal cortex	ENSG00000232126
Astrocyte	HLA-B	Embryonic prefrontal cortex	ENSG00000223532
Astrocyte	HLA-B	Embryonic prefrontal cortex	ENSG00000234745
Microglial cell	LINC01551	Embryonic prefrontal cortex	ENSG00000186960
Oligodendrocyte progenitor cell	PCDH15	Embryonic prefrontal cortex	ENSG00000150275
Oligodendrocyte progenitor cell	PSAT1	Embryonic prefrontal cortex	ENSG00000135069
Microglial cell	IRAG2	Embryonic prefrontal cortex	ENSG00000118308
Microglial cell	HLA-B	Embryonic prefrontal cortex	ENSG00000206450
Microglial cell	HLA-B	Embryonic prefrontal cortex	ENSG00000228964
Microglial cell	HLA-B	Embryonic prefrontal cortex	ENSG00000224608
Microglial cell	HLA-B	Embryonic prefrontal cortex	ENSG00000232126
Microglial cell	HLA-B	Embryonic prefrontal cortex	ENSG00000223532
Microglial cell	HLA-B	Embryonic prefrontal cortex	ENSG00000234745
Astrocyte	SOX9	Embryonic prefrontal cortex	ENSG00000125398
Astrocyte	TFPI	Embryonic prefrontal cortex	ENSG00000003436
Microglial cell	NNAT	Embryonic prefrontal cortex	ENSG00000053438
Microglial cell	GRN	Embryonic prefrontal cortex	ENSG00000030582
Microglial cell	FCGR3A	Embryonic prefrontal cortex	ENSG00000203747
Astrocyte	BMP7	Embryonic prefrontal cortex	ENSG00000101144
Microglial cell	MYL12A	Embryonic prefrontal cortex	ENSG00000101608
Astrocyte	MYORG	Embryonic prefrontal cortex	ENSG00000164976
Microglial cell	NR4A2	Embryonic prefrontal cortex	ENSG00000153234
Neural progenitor cell	BTG3	Embryonic prefrontal cortex	ENSG00000281484
Neural progenitor cell	BTG3	Embryonic prefrontal cortex	ENSG00000154640
Astrocyte	TIMP3	Embryonic prefrontal cortex	ENSG00000100234
Astrocyte	DNER	Embryonic prefrontal cortex	ENSG00000187957
Oligodendrocyte progenitor cell	TSPAN7	Embryonic prefrontal cortex	ENSG00000156298
Astrocyte	CD63	Embryonic prefrontal cortex	ENSG00000135404
Neuron	MAF	Embryonic prefrontal cortex	ENSG00000178573
Microglial cell	CMTM7	Embryonic prefrontal cortex	ENSG00000153551
Oligodendrocyte progenitor cell	STMN2	Embryonic prefrontal cortex	ENSG00000104435
Microglial cell	P2RY12	Embryonic prefrontal cortex	ENSG00000169313
Oligodendrocyte progenitor cell	CD63	Embryonic prefrontal cortex	ENSG00000135404
Astrocyte	SNX3	Embryonic prefrontal cortex	ENSG00000112335
Astrocyte	PLTP	Embryonic prefrontal cortex	ENSG00000100979
Microglial cell	PLTP	Embryonic prefrontal cortex	ENSG00000100979
Microglial cell	P3H2	Embryonic prefrontal cortex	ENSG00000090530
Microglial cell	RYR1	Embryonic prefrontal cortex	ENSG00000196218
Astrocyte	GPRC5B	Embryonic prefrontal cortex	ENSG00000167191
Microglial cell	TMSB15A	Embryonic prefrontal cortex	ENSG00000158164
Neural progenitor cell	EFNB1	Embryonic prefrontal cortex	ENSG00000090776
Microglial cell		Embryonic prefrontal cortex	
Microglial cell	TUBA1A	Embryonic prefrontal cortex	ENSG00000167552
Astrocyte	CA12	Embryonic prefrontal cortex	ENSG00000074410
Oligodendrocyte progenitor cell	SCD5	Embryonic prefrontal cortex	ENSG00000145284
Neural progenitor cell	EMX1	Embryonic prefrontal cortex	ENSG00000135638
Neural progenitor cell	RUNX1T1	Embryonic prefrontal cortex	ENSG00000079102
Neural progenitor cell	CDCA5	Embryonic prefrontal cortex	ENSG00000146670
Neural progenitor cell	PCNA	Embryonic prefrontal cortex	ENSG00000132646
Microglial cell	OTULINL	Embryonic prefrontal cortex	ENSG00000145569
Neural progenitor cell	PIMREG	Embryonic prefrontal cortex	ENSG00000129195
Neuron	NEUROD2	Embryonic prefrontal cortex	ENSG00000171532
Microglial cell	ZFP36L1	Embryonic prefrontal cortex	ENSG00000185650
Astrocyte	METTL7A	Embryonic prefrontal cortex	ENSG00000185432
Microglial cell	MERTK	Embryonic prefrontal cortex	ENSG00000153208
Astrocyte	ZFP36L1	Embryonic prefrontal cortex	ENSG00000185650
Microglial cell	ABCG2	Embryonic prefrontal cortex	ENSG00000118777
Microglial cell	ANXA5	Embryonic prefrontal cortex	ENSG00000164111
Astrocyte	FAM181B	Embryonic prefrontal cortex	ENSG00000182103
Microglial cell	SFT2D1	Embryonic prefrontal cortex	ENSG00000198818
Microglial cell	NAIP	Embryonic prefrontal cortex	ENSG00000276068
Microglial cell	NAIP	Embryonic prefrontal cortex	ENSG00000278613
Microglial cell	NAIP	Embryonic prefrontal cortex	ENSG00000249437
Astrocyte	TUBB	Embryonic prefrontal cortex	ENSG00000235067
Astrocyte	TUBB	Embryonic prefrontal cortex	ENSG00000224156
Astrocyte	TUBB	Embryonic prefrontal cortex	ENSG00000229684
Astrocyte	TUBB	Embryonic prefrontal cortex	ENSG00000232575
Astrocyte	TUBB	Embryonic prefrontal cortex	ENSG00000232421
Astrocyte	TUBB	Embryonic prefrontal cortex	ENSG00000183311
Astrocyte	TUBB	Embryonic prefrontal cortex	ENSG00000227739
Astrocyte	TUBB	Embryonic prefrontal cortex	ENSG00000196230
Microglial cell	NFIB	Embryonic prefrontal cortex	ENSG00000147862
Microglial cell	IGFBPL1	Embryonic prefrontal cortex	ENSG00000137142
Microglial cell	MS4A7	Embryonic prefrontal cortex	ENSG00000166927
Astrocyte	ACSL6	Embryonic prefrontal cortex	ENSG00000164398
Neural progenitor cell	SLA	Embryonic prefrontal cortex	ENSG00000155926
Astrocyte	TP53I3	Embryonic prefrontal cortex	ENSG00000115129
Neural progenitor cell	GTSE1	Embryonic prefrontal cortex	ENSG00000075218
Microglial cell	MEIS2	Embryonic prefrontal cortex	ENSG00000134138
Astrocyte	COMT	Embryonic prefrontal cortex	ENSG00000093010
Microglial cell	CSF1R	Embryonic prefrontal cortex	ENSG00000182578
Oligodendrocyte progenitor cell	GPM6B	Embryonic prefrontal cortex	ENSG00000046653
Neural progenitor cell	CKS1B	Embryonic prefrontal cortex	ENSG00000173207
Oligodendrocyte progenitor cell	FIBIN	Embryonic prefrontal cortex	ENSG00000176971
Astrocyte	AIF1L	Embryonic prefrontal cortex	ENSG00000126878
Microglial cell	RGS2	Embryonic prefrontal cortex	ENSG00000116741
Microglial cell	BIN1	Embryonic prefrontal cortex	ENSG00000136717
Microglial cell	LPAR5	Embryonic prefrontal cortex	ENSG00000184574
Astrocyte	LGI1	Embryonic prefrontal cortex	ENSG00000108231
Astrocyte	SLC1A2	Embryonic prefrontal cortex	ENSG00000110436
Astrocyte	APBB2	Embryonic prefrontal cortex	ENSG00000163697
Astrocyte	CXCL14	Embryonic prefrontal cortex	ENSG00000145824
Microglial cell	LPIN2	Embryonic prefrontal cortex	ENSG00000101577
Neural progenitor cell	PHGDH	Embryonic prefrontal cortex	ENSG00000092621
Microglial cell	LCP1	Embryonic prefrontal cortex	ENSG00000136167
Neural progenitor cell	CDCA4	Embryonic prefrontal cortex	ENSG00000170779
Astrocyte	ID2	Embryonic prefrontal cortex	ENSG00000115738
Astrocyte	GLUL	Embryonic prefrontal cortex	ENSG00000135821
Oligodendrocyte progenitor cell	OLIG2	Embryonic prefrontal cortex	ENSG00000205927
Microglial cell	ARHGAP4	Embryonic prefrontal cortex	ENSG00000089820
Neural progenitor cell	SMC2	Embryonic prefrontal cortex	ENSG00000136824
Microglial cell	APPL2	Embryonic prefrontal cortex	ENSG00000136044
Microglial cell	ALOX5AP	Embryonic prefrontal cortex	ENSG00000132965
Astrocyte	SYT1	Embryonic prefrontal cortex	ENSG00000067715
Neural progenitor cell	GNG5	Embryonic prefrontal cortex	ENSG00000174021
Astrocyte	LGALS3	Embryonic prefrontal cortex	ENSG00000131981
Astrocyte	ALPL	Embryonic prefrontal cortex	ENSG00000162551
Astrocyte	TIMP1	Embryonic prefrontal cortex	ENSG00000102265
Oligodendrocyte progenitor cell	DCX	Embryonic prefrontal cortex	ENSG00000077279
Oligodendrocyte progenitor cell	ABRACL	Embryonic prefrontal cortex	ENSG00000146386
Microglial cell	CCL3	Embryonic prefrontal cortex	ENSG00000278567
Microglial cell	CCL3	Embryonic prefrontal cortex	ENSG00000274221
Microglial cell	CCL3	Embryonic prefrontal cortex	ENSG00000277632
Interneuron	GAD1	Embryonic prefrontal cortex	ENSG00000128683
Interneuron	UBE2T	Embryonic prefrontal cortex	ENSG00000077152
Microglial cell	C1QB	Embryonic prefrontal cortex	ENSG00000173369
Astrocyte	AGT	Embryonic prefrontal cortex	ENSG00000135744
Microglial cell	VSIR	Embryonic prefrontal cortex	ENSG00000107738
Astrocyte	RASSF4	Embryonic prefrontal cortex	ENSG00000107551
Microglial cell	APLP2	Embryonic prefrontal cortex	ENSG00000084234
Neural progenitor cell	HMGB3	Embryonic prefrontal cortex	ENSG00000029993
Neuron	NEUROD6	Embryonic prefrontal cortex	ENSG00000164600
Oligodendrocyte progenitor cell	CNP	Embryonic prefrontal cortex	ENSG00000173786
Neural progenitor cell	SCG3	Embryonic prefrontal cortex	ENSG00000104112
Microglial cell	DAB2	Embryonic prefrontal cortex	ENSG00000153071
Astrocyte	SPRY2	Embryonic prefrontal cortex	ENSG00000136158
Microglial cell	CD81	Embryonic prefrontal cortex	ENSG00000110651
Oligodendrocyte progenitor cell	NSG1	Embryonic prefrontal cortex	ENSG00000168824
Microglial cell	SCG3	Embryonic prefrontal cortex	ENSG00000104112
Microglial cell	RAB32	Embryonic prefrontal cortex	ENSG00000118508
Microglial cell		Embryonic prefrontal cortex	
Neural progenitor cell	GNG2	Embryonic prefrontal cortex	ENSG00000186469
Microglial cell	MGAT4A	Embryonic prefrontal cortex	ENSG00000071073
Microglial cell	GYPC	Embryonic prefrontal cortex	ENSG00000136732
Astrocyte	ITGAV	Embryonic prefrontal cortex	ENSG00000138448
Astrocyte	KCNE5	Embryonic prefrontal cortex	ENSG00000176076
Astrocyte	HSD17B12	Embryonic prefrontal cortex	ENSG00000149084
Microglial cell	TAL1	Embryonic prefrontal cortex	ENSG00000162367
Oligodendrocyte progenitor cell	APOD	Embryonic prefrontal cortex	ENSG00000189058
Interneuron	ARX	Embryonic prefrontal cortex	ENSG00000004848
Microglial cell	GSTK1	Embryonic prefrontal cortex	ENSG00000197448
Microglial cell	IFI30	Embryonic prefrontal cortex	ENSG00000216490
Neural progenitor cell	MCM5	Embryonic prefrontal cortex	ENSG00000100297
Neural progenitor cell	SGO2	Embryonic prefrontal cortex	ENSG00000163535
Astrocyte	B2M	Embryonic prefrontal cortex	ENSG00000273686
Astrocyte	B2M	Embryonic prefrontal cortex	ENSG00000166710
Microglial cell	VSIG4	Embryonic prefrontal cortex	ENSG00000155659
Microglial cell	CTSB	Embryonic prefrontal cortex	ENSG00000285132
Microglial cell	CTSB	Embryonic prefrontal cortex	ENSG00000164733
Astrocyte	PAQR8	Embryonic prefrontal cortex	ENSG00000170915
Microglial cell	MYLIP	Embryonic prefrontal cortex	ENSG00000007944
Microglial cell	CPED1	Embryonic prefrontal cortex	ENSG00000106034
Interneuron	GAD2	Embryonic prefrontal cortex	ENSG00000136750
Microglial cell	C20orf27	Embryonic prefrontal cortex	ENSG00000101220
Microglial cell	FABP7	Embryonic prefrontal cortex	ENSG00000164434
Microglial cell	HCK	Embryonic prefrontal cortex	ENSG00000101336
Astrocyte	BMPR1B	Embryonic prefrontal cortex	ENSG00000138696
Neural progenitor cell	H2AZ2	Embryonic prefrontal cortex	ENSG00000105968
Astrocyte	BBS2	Embryonic prefrontal cortex	ENSG00000125124
Microglial cell	GNG7	Embryonic prefrontal cortex	ENSG00000176533
Neuron	PLS3	Embryonic prefrontal cortex	ENSG00000102024
Oligodendrocyte progenitor cell	EPB41L2	Embryonic prefrontal cortex	ENSG00000079819
Astrocyte	LRRC3B	Embryonic prefrontal cortex	ENSG00000179796
Microglial cell	SLC29A1	Embryonic prefrontal cortex	ENSG00000112759
Microglial cell	TPP1	Embryonic prefrontal cortex	ENSG00000166340
Microglial cell	SASH3	Embryonic prefrontal cortex	ENSG00000122122
Microglial cell	IGFLR1	Embryonic prefrontal cortex	ENSG00000126246
Astrocyte	EMC2	Embryonic prefrontal cortex	ENSG00000104412
Astrocyte	SELENBP1	Embryonic prefrontal cortex	ENSG00000143416
Microglial cell	PLA2G15	Embryonic prefrontal cortex	ENSG00000103066
Microglial cell	STOM	Embryonic prefrontal cortex	ENSG00000148175
Interneuron	NEUROD6	Embryonic prefrontal cortex	ENSG00000164600
Astrocyte	ELOVL2	Embryonic prefrontal cortex	ENSG00000197977
Astrocyte	IFI27L1	Embryonic prefrontal cortex	ENSG00000276880
Astrocyte	IFI27L1	Embryonic prefrontal cortex	ENSG00000165948
Microglial cell	MPEG1	Embryonic prefrontal cortex	ENSG00000197629
Microglial cell	TCF4	Embryonic prefrontal cortex	ENSG00000196628
Microglial cell	CD86	Embryonic prefrontal cortex	ENSG00000114013
Astrocyte	MT3	Embryonic prefrontal cortex	ENSG00000087250
Microglial cell	GAA	Embryonic prefrontal cortex	ENSG00000171298
Neuron	NEUROD1	Embryonic prefrontal cortex	ENSG00000162992
Astrocyte	RGCC	Embryonic prefrontal cortex	ENSG00000102760
Neural progenitor cell	UCP2	Embryonic prefrontal cortex	ENSG00000175567
Neural progenitor cell	TUBB4B	Embryonic prefrontal cortex	ENSG00000188229
Microglial cell	CCR1	Embryonic prefrontal cortex	ENSG00000163823
Microglial cell	FXYD6	Embryonic prefrontal cortex	ENSG00000137726
Microglial cell	TMBIM1	Embryonic prefrontal cortex	ENSG00000135926
Neural progenitor cell	GINS2	Embryonic prefrontal cortex	ENSG00000131153
Astrocyte	ANXA5	Embryonic prefrontal cortex	ENSG00000164111
Microglial cell	BEX3	Embryonic prefrontal cortex	ENSG00000166681
Microglial cell	EGR1	Embryonic prefrontal cortex	ENSG00000120738
Astrocyte	JUN	Embryonic prefrontal cortex	ENSG00000177606
Interneuron	LDHA	Embryonic prefrontal cortex	ENSG00000288299
Interneuron	LDHA	Embryonic prefrontal cortex	ENSG00000134333
Microglial cell	MYO1F	Embryonic prefrontal cortex	ENSG00000142347
Astrocyte	FABP7	Embryonic prefrontal cortex	ENSG00000164434
Oligodendrocyte progenitor cell	ARL4A	Embryonic prefrontal cortex	ENSG00000122644
Neural progenitor cell	H2AX	Embryonic prefrontal cortex	ENSG00000188486
Astrocyte	TCF7L2	Embryonic prefrontal cortex	ENSG00000148737
Astrocyte	IGFBPL1	Embryonic prefrontal cortex	ENSG00000137142
Microglial cell	NPC2	Embryonic prefrontal cortex	ENSG00000119655
Astrocyte	ATP1A2	Embryonic prefrontal cortex	ENSG00000018625
Astrocyte	TMSB10	Embryonic prefrontal cortex	ENSG00000034510
Astrocyte	TEX264	Embryonic prefrontal cortex	ENSG00000164081
Astrocyte	CBS	Embryonic prefrontal cortex	ENSG00000160200
Microglial cell	PTAFR	Embryonic prefrontal cortex	ENSG00000169403
Microglial cell	LHFPL2	Embryonic prefrontal cortex	ENSG00000145685
Microglial cell	BST2	Embryonic prefrontal cortex	ENSG00000130303
Microglial cell	NR3C1	Embryonic prefrontal cortex	ENSG00000113580
Microglial cell	TBXAS1	Embryonic prefrontal cortex	ENSG00000059377
Microglial cell	BTG2	Embryonic prefrontal cortex	ENSG00000159388
Microglial cell	AIF1	Embryonic prefrontal cortex	ENSG00000235588
Microglial cell	AIF1	Embryonic prefrontal cortex	ENSG00000206428
Microglial cell	AIF1	Embryonic prefrontal cortex	ENSG00000234836
Microglial cell	AIF1	Embryonic prefrontal cortex	ENSG00000235985
Microglial cell	AIF1	Embryonic prefrontal cortex	ENSG00000237727
Microglial cell	AIF1	Embryonic prefrontal cortex	ENSG00000204472
Microglial cell	GNAI2	Embryonic prefrontal cortex	ENSG00000114353
Astrocyte	NSG1	Embryonic prefrontal cortex	ENSG00000168824
Microglial cell	CASP1	Embryonic prefrontal cortex	ENSG00000137752
Oligodendrocyte progenitor cell	TSC22D4	Embryonic prefrontal cortex	ENSG00000166925
Astrocyte	GLUD1	Embryonic prefrontal cortex	ENSG00000148672
Astrocyte	TMSB15A	Embryonic prefrontal cortex	ENSG00000158164
Microglial cell	CD4	Embryonic prefrontal cortex	ENSG00000010610
Astrocyte	SLC9A3R1	Embryonic prefrontal cortex	ENSG00000109062
Microglial cell	RNF130	Embryonic prefrontal cortex	ENSG00000113269
Microglial cell	SALL1	Embryonic prefrontal cortex	ENSG00000103449
Oligodendrocyte progenitor cell	RHOC	Embryonic prefrontal cortex	ENSG00000155366
Oligodendrocyte progenitor cell	RND3	Embryonic prefrontal cortex	ENSG00000115963
Microglial cell	LAT2	Embryonic prefrontal cortex	ENSG00000086730
Microglial cell	NCF4	Embryonic prefrontal cortex	ENSG00000275990
Microglial cell	NCF4	Embryonic prefrontal cortex	ENSG00000100365
Astrocyte	MRC2	Embryonic prefrontal cortex	ENSG00000011028
Astrocyte	LGALS3BP	Embryonic prefrontal cortex	ENSG00000108679
Microglial cell	DNPH1	Embryonic prefrontal cortex	ENSG00000112667
Neural progenitor cell	CENPU	Embryonic prefrontal cortex	ENSG00000151725
Astrocyte	AK4	Embryonic prefrontal cortex	ENSG00000162433
Neural progenitor cell	SOX9	Embryonic prefrontal cortex	ENSG00000125398
Astrocyte	SERPINE2	Embryonic prefrontal cortex	ENSG00000135919
Microglial cell	MLLT11	Embryonic prefrontal cortex	ENSG00000213190
Microglial cell	ELF1	Embryonic prefrontal cortex	ENSG00000120690
Microglial cell	TLR7	Embryonic prefrontal cortex	ENSG00000196664
Neural progenitor cell	NUSAP1	Embryonic prefrontal cortex	ENSG00000137804
Microglial cell	FOSB	Embryonic prefrontal cortex	ENSG00000125740
Astrocyte	MAGT1	Embryonic prefrontal cortex	ENSG00000102158
Microglial cell	C1QA	Embryonic prefrontal cortex	ENSG00000173372
Astrocyte	ZFYVE21	Embryonic prefrontal cortex	ENSG00000100711
Microglial cell	PRDX2	Embryonic prefrontal cortex	ENSG00000167815
Astrocyte	RAB31	Embryonic prefrontal cortex	ENSG00000168461
Neural progenitor cell	CENPN	Embryonic prefrontal cortex	ENSG00000166451
Oligodendrocyte progenitor cell	ETV1	Embryonic prefrontal cortex	ENSG00000006468
Microglial cell	RASSF4	Embryonic prefrontal cortex	ENSG00000107551
Oligodendrocyte progenitor cell	CD24	Embryonic prefrontal cortex	ENSG00000272398
Astrocyte	CD24	Embryonic prefrontal cortex	ENSG00000272398
Astrocyte	EFHD2	Embryonic prefrontal cortex	ENSG00000142634
Astrocyte	SHISA4	Embryonic prefrontal cortex	ENSG00000198892
Astrocyte	SCD	Embryonic prefrontal cortex	ENSG00000099194
Astrocyte	EFNA1	Embryonic prefrontal cortex	ENSG00000169242
Neural progenitor cell	PLIN2	Embryonic prefrontal cortex	ENSG00000147872
Microglial cell	HTRA1	Embryonic prefrontal cortex	ENSG00000166033
Microglial cell		Embryonic prefrontal cortex	
Interneuron	VIM	Embryonic prefrontal cortex	ENSG00000026025
Microglial cell	TSC22D1	Embryonic prefrontal cortex	ENSG00000102804
Astrocyte	HAPLN3	Embryonic prefrontal cortex	ENSG00000140511
Astrocyte	PRR5	Embryonic prefrontal cortex	ENSG00000186654
Neural progenitor cell	SPC25	Embryonic prefrontal cortex	ENSG00000277909
Neural progenitor cell	SPC25	Embryonic prefrontal cortex	ENSG00000152253
Astrocyte	OAT	Embryonic prefrontal cortex	ENSG00000065154
Microglial cell	GADD45B	Embryonic prefrontal cortex	ENSG00000099860
Oligodendrocyte progenitor cell	CSRP2	Embryonic prefrontal cortex	ENSG00000175183
Neural progenitor cell	MCM3	Embryonic prefrontal cortex	ENSG00000112118
Astrocyte	FADS2	Embryonic prefrontal cortex	ENSG00000134824
Astrocyte	TAGLN3	Embryonic prefrontal cortex	ENSG00000144834
Microglial cell	SERPINB6	Embryonic prefrontal cortex	ENSG00000124570
Astrocyte	HOPX	Embryonic prefrontal cortex	ENSG00000171476
Astrocyte	ARHGEF26	Embryonic prefrontal cortex	ENSG00000277101
Astrocyte	ARHGEF26	Embryonic prefrontal cortex	ENSG00000114790
Microglial cell	APOE	Embryonic prefrontal cortex	ENSG00000130203
Microglial cell	ADORA3	Embryonic prefrontal cortex	ENSG00000282608
Neural progenitor cell	CDC20	Embryonic prefrontal cortex	ENSG00000117399
Oligodendrocyte progenitor cell	ANXA5	Embryonic prefrontal cortex	ENSG00000164111
Microglial cell	JUN	Embryonic prefrontal cortex	ENSG00000177606
Microglial cell	ASAH1	Embryonic prefrontal cortex	ENSG00000104763
Astrocyte	BCL11A	Embryonic prefrontal cortex	ENSG00000119866
Neural progenitor cell	KIF15	Embryonic prefrontal cortex	ENSG00000280610
Neural progenitor cell	KIF15	Embryonic prefrontal cortex	ENSG00000163808
Astrocyte	MMD2	Embryonic prefrontal cortex	ENSG00000136297
Microglial cell	MAN2B1	Embryonic prefrontal cortex	ENSG00000104774
Astrocyte	ADCYAP1R1	Embryonic prefrontal cortex	ENSG00000078549
Astrocyte	STON2	Embryonic prefrontal cortex	ENSG00000140022
Microglial cell	CREBL2	Embryonic prefrontal cortex	ENSG00000111269
Astrocyte	DHCR7	Embryonic prefrontal cortex	ENSG00000172893
Neural progenitor cell	STMN2	Embryonic prefrontal cortex	ENSG00000104435
Astrocyte	RFX4	Embryonic prefrontal cortex	ENSG00000111783
Astrocyte	GULP1	Embryonic prefrontal cortex	ENSG00000144366
Astrocyte	LRATD2	Embryonic prefrontal cortex	ENSG00000168672
Microglial cell	DOCK4	Embryonic prefrontal cortex	ENSG00000128512
Neural progenitor cell	RTN1	Embryonic prefrontal cortex	ENSG00000139970
Oligodendrocyte progenitor cell	PLLP	Embryonic prefrontal cortex	ENSG00000102934
Microglial cell	MDK	Embryonic prefrontal cortex	ENSG00000110492
